topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9,term10,term11,term12,term13,term14,term15,term16,term17,term18
124,research,data,information,researchers,university,study,work,experts,national,scientists,institute,results,analysis,working,team,found,small,findings,made
125,small,country,early,young,made,long,american,recent,decade,times,decades,large,top,success,years,group,helped,reputation,popular
126,ms,mr,woman,york,added,husband,interview,manhattan,nytimes,couple,write,love,appeared,assistant,executive,chairwoman,spivak,richardson,recalled
127,program,programs,center,director,education,school,summer,year,humanities,offers,study,institute,department,offered,area,offer,arts,training,services
128,fairfield,theater,greenwich,arts,hartford,yale,center,ridgefield,connecticut,haven,stamford,westport,playhouse,university,art,bridgeport,seniors,main,american
129,arts,nea,cultural,endowment,support,art,artists,federal,humanities,government,organizations,funding,endowments,culture,public,national,agency,groups,grants
130,medical,medicine,doctors,dr,hospital,patients,patient,doctor,health,care,physicians,physician,hospitals,aaron,clinical,practice,university,surgery,training
131,study,survey,percent,found,studies,social,psychology,people,researchers,findings,time,psychologist,cognitive,psychologists,studying,reported,psychological,intelligence,published
132,game,games,link,berg,players,playing,play,video,classic,player,interstitial,olah,played,chess,gaming,nintendo,ways,industry,win
133,book,books,author,pages,read,writes,written,writing,wrote,write,reader,essays,readers,review,life,writer,page,volume,essay
134,dr,university,professor,research,president,director,york,interview,institute,added,national,harvard,development,noted,foundation,doctorate,head,columbia,philadelphia
135,fashion,hair,wear,dress,red,clothes,closet,gray,wearing,beauty,clothing,white,hats,shoes,black,designer,wore,shirts,model
136,church,religious,religion,catholic,christian,st,faith,god,christ,roman,jesus,churches,rev,bible,theology,prayer,seminary,secular,spiritual
137,art,show,exhibition,museum,paintings,works,painting,artists,gallery,artist,work,drawings,century,american,york,collection,life,view,painter
138,drug,drugs,tobacco,alcohol,drinking,abuse,food,addiction,cancer,water,marijuana,smoking,disease,times,prescription,cigarette,chemicals,heroin,treatment
139,yale,harvard,graduate,union,university,princeton,strike,summers,labor,levin,teaching,haven,workers,giamatti,president,assistants,faculty,ivy,unions
140,man,le,genius,student,wrote,belgian,young,brussels,anti,articles,belgium,war,essay,semitic,letter,reputation,secret,produced,made
141,company,business,companies,executive,corporate,chief,management,firm,financial,industry,million,packard,investment,executives,corporation,marketing,bank,hewlett,employees
142,chinese,china,international,foreign,american,india,asian,countries,asia,government,abroad,university,global,world,hong,kong,country,study,japan
143,experience,culture,ways,time,make,important,ideas,life,issues,create,role,conversation,today,long,focus,process,personal,change,understanding
144,jewish,jews,wiesel,holocaust,anti,rabbi,yiddish,israel,hebrew,arendt,jew,nazi,semitism,synagogue,scholem,judaism,world,camp,ha
145,freud,psychoanalysis,sinatra,psychology,therapy,jung,hillman,gombrich,psychological,erikson,psychoanalytic,phillips,sigmund,psychotherapy,hysteria,personality,engel,benedict,psychoanalyst
146,roth,art,modernism,critic,paglia,updike,philip,called,high,macdonald,post,critics,jean,reviews,style,intellectuals,avant,camille,garde
147,festival,events,exhibit,year,event,anniversary,day,national,celebration,humanities,center,local,museum,area,free,show,exhibits,display,council
148,studies,university,scholars,academic,study,history,field,professor,research,harvard,humanities,work,scholar,intellectual,scholarship,scholarly,culture,institute,literature
149,family,friends,memorial,wife,husband,brother,sister,life,service,son,born,daughter,children,home,loving,held,loved,law,brothers
150,wilson,obama,national,sports,deford,woodrow,president,hyde,barack,bernard,npr,writer,michelle,white,radio,humanities,west,wrote,medal
151,law,legal,school,lawyers,lawyer,court,judge,justice,firm,schools,dean,practice,counsel,bar,attorney,stanford,judges,supreme,levi
152,sherman,mccormick,taborn,tyson,recording,recordings,sound,leonard,piano,piece,tapes,recorded,composer,record,musical,cage,notes,played,heard
153,life,house,simon,knopf,random,author,schuster,straus,farrar,giroux,books,world,biography,stories,family,memoir,year,brown,harpercollins
154,life,time,years,lives,story,people,family,young,stories,friends,living,lost,history,voice,read,day,age,live,past
155,war,world,american,civil,military,vietnam,army,soldiers,history,battle,veterans,union,end,men,home,troops,president,fought,served
156,make,simply,view,matter,problem,humanities,clear,question,point,process,made,effect,find,recently,reason,wrong,real,put,hand
157,soviet,russian,russia,union,moscow,putin,state,russians,minister,country,communist,foreign,gorbachev,government,revolution,exchange,andropov,vladimir,stalin
158,city,mayor,cities,public,council,district,washington,town,residents,business,development,bloomberg,urban,cooper,redmond,downtown,capital,plan,parks
159,dylan,melville,dick,moby,carson,speech,text,bob,words,ricks,plagiarism,gallagher,achilles,hector,lines,passage,herman,oedipus,versions
160,lewis,clark,wolfe,abrams,isaacson,tom,ambrose,kissinger,craven,goodman,famous,ken,spears,land,polaroid,meriwether,dobell,blob,neiman
161,gay,aids,rice,cole,disney,humor,lesbian,costa,syndrome,institute,stonewall,gifted,davidson,terman,aires,buenos,martin,cartoons,hiv
162,center,president,institute,foundation,board,university,director,humanities,chairman,arts,chair,american,leadership,support,trustee,founder,education,great,served
163,skills,work,learning,career,learn,world,thinking,humanities,life,job,experience,knowledge,working,business,ability,careers,critical,training,development
164,reading,read,twain,book,finn,books,coles,dickens,steinbeck,great,literature,plot,huckleberry,works,denby,huck,jim,adventures,century
165,officials,week,told,month,asked,made,people,statement,yesterday,news,called,reported,official,day,added,months,today,spokesman,announced
166,shakespeare,leonardo,plays,hamlet,folger,play,english,juliet,romeo,garber,da,greenblatt,shakespearean,king,renaissance,lear,language,vinci,elizabethan
167,grant,grants,endowment,neh,million,humanities,foundation,year,federal,funds,projects,received,money,project,public,agency,funding,awarded,program
168,year,years,time,work,ago,week,working,summer,job,long,months,back,spent,start,fall,month,ve,early,worked
169,san,california,francisco,diego,berkeley,calif,state,uc,cal,fullerton,jose,valley,pacific,bay,humanities,starr,beach,abstract,vista
170,age,people,older,elderly,teen,aging,life,young,generation,younger,agers,retirement,senior,cohen,baby,health,adults,youth,cole
171,island,sea,ship,boat,kosinski,islands,ships,coast,harbor,captain,maritime,sailing,ocean,boats,cook,whale,bird,south,bay
172,information,center,conference,call,humanities,discussion,public,event,talk,series,college,held,free,events,open,program,discuss,panel,session
173,taylor,allen,dallas,parker,fox,arnold,albany,billy,rose,tom,webb,gen,purple,beck,baxter,woody,genovese,daniels,cairo
174,academy,cohen,rome,brazil,american,york,authority,sennett,berlowitz,kircher,caldwell,arts,winners,rio,fellows,architecture,years,gorman,terrace
175,black,american,white,african,gates,blacks,race,civil,rights,racial,americans,movement,afro,racism,malcolm,du,america,history,social
176,river,summer,winter,water,year,weather,snow,day,days,spring,miles,morning,long,storm,wind,lake,back,rain,earth
177,online,web,site,digital,internet,information,media,google,world,sites,video,search,technology,access,humanities,post,virtual,project,map
178,dayton,center,presents,greene,st,theatre,annual,local,visit,performs,concert,friday,event,cost,wright,stage,kettering,saturday,show
179,prize,award,won,pulitzer,national,winning,nobel,humanities,medal,awards,winner,work,year,author,prizes,book,arts,winners,awarded
180,mn,church,age,survived,grandchildren,preceded,visitation,great,passed,service,funeral,st,death,pm,parents,chapel,prior,minneapolis,cemetery
181,westchester,purchase,hudson,college,arts,white,plains,rochelle,yonkers,center,library,tarrytown,county,rye,theater,scarsdale,katonah,river,croton
182,saturday,sunday,friday,information,admission,free,tickets,children,tuesday,street,thursday,monday,wednesday,open,members,center,today,noon,day
183,college,university,students,campus,faculty,student,school,academic,year,president,members,dean,alumni,state,community,colleges,arts,campuses,fall
184,military,army,academy,west,point,corps,veterans,air,pentagon,force,navy,naval,general,training,officer,service,cadets,officers,marine
185,community,people,project,local,work,communities,support,make,working,members,group,place,projects,lives,director,serve,years,nonprofit,bring
186,sculpture,objects,carved,exhibition,animal,elephant,animals,sculptures,bronze,circus,ivory,human,long,small,di,klee,material,installation,group
187,prison,trial,justice,court,charges,criminal,guilty,investigation,judge,jury,convicted,accused,attorney,people,federal,crime,found,prisoners,inmates
188,president,white,house,bush,cheney,clinton,reagan,secretary,washington,national,vice,administration,presidential,policy,chairman,carter,chief,political,lynne
189,county,town,state,road,river,farm,valley,small,towns,rural,miles,local,railroad,bridge,highway,country,farmers,city,water
190,culture,political,cultural,social,society,american,intellectual,politics,western,values,class,generation,york,world,ideas,people,intellectuals,tradition,popular
191,film,films,movie,documentary,movies,director,festival,made,hollywood,screen,cinema,series,filmmaker,directed,story,filmmakers,american,feature,academy
192,trip,travel,day,hotel,tour,bus,world,home,airport,york,car,trips,train,days,summer,ride,visit,beach,time
193,faculty,professors,academic,universities,university,teaching,tenure,members,ph,department,research,professor,departments,time,sciences,higher,full,tenured,positions
194,street,museum,avenue,west,photography,american,rosenberg,closes,made,indian,presents,world,contemporary,small,artist,galleries,young,library,east
195,oklahoma,tulsa,city,foundation,moore,state,roberts,arts,norman,hall,center,services,council,uco,mcalester,family,oklahomans,shepley,okla
196,science,scientific,scientists,physics,mathematics,chemistry,research,scientist,sciences,biology,lab,math,technology,laboratory,newton,field,basic,physical,professor
197,college,applications,school,admissions,high,accepted,percent,application,applicants,received,enrollment,financial,apply,aid,senior,average,enrolled,undergraduate,full
198,foundation,rockefeller,bard,fellows,mellon,carnegie,macarthur,botstein,fellowships,president,york,fellowship,guggenheim,program,ford,bowen,american,princeton,andrew
199,park,neighborhood,area,residents,bedroom,avenue,houses,housing,west,street,apartment,streets,district,st,homes,boulevard,east,parks,live
200,teachers,education,schools,teaching,teacher,school,students,teach,standards,curriculum,classroom,educators,learning,children,taught,educational,state,high,elementary
201,garden,gardens,house,nature,tour,park,trees,birds,plants,island,plant,animals,bird,open,forest,wild,tree,wildlife,landscape
202,dakota,north,bismarck,state,mandan,bsc,public,dickinson,fargo,humanities,jenkinson,minot,place,center,williston,visit,dsu,sevareid,conversations
203,television,public,series,radio,pbs,show,stations,broadcasting,tv,station,broadcast,burns,channel,documentary,programming,program,news,producer,cable
204,kennedy,president,center,arts,white,columbia,house,year,singer,honors,lady,butler,washington,committee,honorees,attend,humanities,sovern,reception
205,power,world,today,kind,end,sense,long,longer,future,term,time,rise,open,idea,called,real,good,makes,free
206,estate,price,real,market,family,prices,sale,house,sold,percent,home,property,bought,homes,town,sales,buy,people,years
207,rich,nea,government,dunne,barber,art,public,kenyon,didion,people,wealth,income,good,azulay,civility,quinn,artist,community,house
208,music,orchestra,concert,symphony,concerts,chamber,musical,hall,piano,works,ensemble,festival,director,composer,mozart,pianist,beethoven,bach,performance
209,people,make,good,big,don,lot,years,hard,money,things,great,kind,makes,isn,important,top,means,doesn,life
210,salk,vaccine,public,goldman,disease,success,houston,baumol,sector,virus,polio,hurricane,government,aids,live,pew,sachs,measles,health
211,century,show,made,furniture,objects,design,silver,style,arts,designs,gold,pieces,works,jewelry,glass,display,today,decorative,hand
212,professor,university,columbia,humanities,college,department,history,english,associate,school,york,studies,director,prof,emeritus,center,assistant,literature,american
213,mr,york,added,time,called,years,made,interview,office,ms,received,telephone,major,special,today,interest,recalled,noted,suggested
214,literature,literary,bloom,english,criticism,critics,books,canon,theory,works,culture,professor,texts,reading,critic,derrida,great,shakespeare,critical
215,washington,arlington,md,alexandria,va,montgomery,center,post,massachusetts,philadelphia,maryland,georgetown,boston,pennsylvania,program,mount,area,bethesda,silver
216,education,management,science,business,bachelor,cl,elementary,administration,information,mcl,technology,communication,scl,justice,accounting,systems,criminal,ed,marketing
217,joyce,irish,sexton,ireland,beckett,mailer,brien,ulysses,schweitzer,kenner,harry,wake,gilbert,mcluhan,dublin,hugh,pound,patrick,sargent
218,speech,freedom,free,political,public,rights,protest,american,president,support,policy,violence,protests,issues,speak,letter,fear,views,protesters
219,university,stanford,chicago,harvard,california,michigan,berkeley,hopkins,princeton,cornell,wisconsin,johns,institute,columbia,illinois,yale,state,washington,pennsylvania
220,week,potter,book,list,harry,reilly,bill,weeks,tom,sales,fisher,cosby,warner,celebrity,comedian,stewart,show,night,star
221,project,papers,scholars,years,archives,volumes,published,volume,documents,work,edition,letters,library,university,written,material,historical,records,encyclopedia
222,music,jazz,band,songs,rock,musical,song,concert,musicians,folk,singer,blues,group,show,perform,play,singing,guitar,dance
223,street,west,avenue,east,tomorrow,manhattan,village,broadway,lower,side,sunday,tonight,york,park,theater,brooklyn,greenwich,chelsea,madison
224,italian,italy,spain,dasani,spanish,european,florence,europe,renaissance,rome,chanel,koecher,madrid,garibaldi,quixote,auburn,donatello,medieval,southern
225,family,tisch,wright,rose,friend,passing,board,staff,condolences,extend,york,wife,entire,chairman,loss,frederick,friends,deeply,mourn
226,language,english,languages,dictionary,words,word,foreign,french,latin,spanish,translation,culture,world,webster,oxford,german,speech,linguistic,modern
227,board,state,chancellor,officials,regents,plan,education,city,system,meeting,proposal,union,approved,yesterday,vote,boards,mills,members,administrators
228,death,dead,day,body,killed,found,man,men,called,died,bones,blood,die,buried,grave,kill,abandoned,remains,lost
229,poetry,poet,poems,poets,poem,whitman,read,writing,work,laureate,baraka,english,milosz,walt,brodsky,verse,love,literature,published
230,writers,literary,writing,literature,book,writer,author,fiction,books,published,work,novels,english,stories,american,wrote,authors,story,write
231,africa,african,south,africans,mazrui,hindley,west,western,series,apartheid,nigeria,rushdie,anti,black,tutu,nigerian,continent,country,countries
232,miss,murray,wharton,edith,reid,harrington,ali,meyer,failure,brodie,lily,emojis,clown,gaines,resolutions,pacheco,publicity,ferris,sandburg
233,review,journals,journal,articles,article,kramer,published,publication,hockney,fat,scholarly,paper,academic,publishing,publications,peer,editor,publish,rankings
234,movie,movies,comic,star,date,comics,wars,release,hollywood,batman,tv,series,summer,disney,superhero,fans,schulz,rating,strip
235,editor,times,news,york,magazine,article,writer,page,newspaper,journalism,reporter,column,editorial,journal,newspapers,press,ed,paper,daily
236,christmas,holiday,yea,thanksgiving,nay,tree,santa,family,year,holidays,winter,eve,decorated,carols,carol,season,service,gift,choir
237,tickets,dinner,benefit,event,evening,party,guests,auction,live,reception,black,annual,tie,gala,center,house,raise,money,cocktails
238,french,japanese,france,paris,japan,revolution,jean,world,la,international,cocteau,government,country,le,tokyo,european,lang,revolutionary,jacques
239,los,angeles,santa,mexico,fe,california,san,mexican,texas,calif,antonio,julian,southern,la,county,monica,albuquerque,spanish,rodriguez
240,health,medical,disease,patients,care,treatment,mental,cancer,pain,people,brain,illness,patient,alzheimer,hospital,life,body,doctors,medicine
241,texas,austin,collection,center,university,horowitz,manuscripts,research,ransom,archive,manuscript,rare,silverman,kerouac,papers,harry,million,humanities,staley
242,economic,workers,jobs,work,business,industry,economy,government,system,american,labor,force,high,market,future,international,trade,growth,companies
243,jackson,director,chief,executive,pearl,assistant,senior,national,security,dumont,ward,sam,nisbet,minister,prime,daley,secretary,andrew,deputy
244,day,back,night,man,year,told,home,asked,room,days,morning,high,make,hard,made,young,big,didn,left
245,story,show,world,stories,characters,age,series,tales,love,tale,fairy,character,young,true,girl,calvino,storytelling,season,princess
246,theater,play,plays,broadway,stage,production,company,drama,theatre,show,director,musical,performance,directed,playwright,performances,actors,artistic,season
247,science,sciences,social,natural,economics,biology,psychology,design,human,humanities,evolution,theory,anthropology,biological,scientific,intelligent,sociology,physical,behavior
248,percent,job,jobs,college,graduates,major,year,number,majors,average,market,high,education,degrees,career,study,business,humanities,report
249,castro,vicente,cuba,pell,cuban,harriet,duras,rubin,esteban,stein,cowles,fitzgerald,macaulay,holography,cathedral,island,havana,fidel,newport
